feature,method,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy,masked_values
Emergency_Beds,Iterative Imputer (MICE),6.9077936901841674,3.525006706039809,1.922319624439554,-0.6523040961214411,0.6523040961214411,93.91715541528306,0.34527890000026673,0.6475,192
Occupied_Beds,Iterative Imputer (MICE),10.4038112428228,4.829799605402849,3.0761961209851187,-0.7072055743201751,0.7072055743201751,715.0171466295122,0.34527890000026673,0.6475,192
Available_Beds,Iterative Imputer (MICE),8.851202183724322,4.70574330045643,3.656596663810151,-0.5961262094090012,0.5961262094090012,346.2138721775529,0.34527890000026673,0.6475,192
Admissions,Iterative Imputer (MICE),5.524980701534754,4.418674729610981,1.1861025815782469,0.5407734554159676,0.5407734554159676,50.12410426082018,0.34527890000026673,0.6475,192
Discharges,Iterative Imputer (MICE),7.053296578498202,5.735380893901552,1.5418583595111177,0.2830627403500186,0.2830627403500186,73.35304538036863,0.34527890000026673,0.6475,192
Doctors,Iterative Imputer (MICE),1.0752112460956567,0.8965761876152897,0.36193907948668674,-0.2527069084908468,0.2527069084908468,6.475231145139495,0.34527890000026673,0.6475,192
Nurses,Iterative Imputer (MICE),3.195876547404166,2.6059445237231107,0.6759854251235515,0.3744266668122967,0.3744266668122967,91.70258782049149,0.34527890000026673,0.6475,192
Staff_On_Duty,Iterative Imputer (MICE),4.392299975830455,3.3815316082664104,0.9289310687774143,0.4298298842314237,0.4298298842314237,274.1920604953992,0.34527890000026673,0.6475,192
Average_Length_of_Stay,Iterative Imputer (MICE),1.100597497857235,0.8940303736550166,0.841884670272347,-0.0022517576898129685,0.0022517576898129685,0.005206587440496562,0.34527890000026673,0.6475,192
Emergency_Cases,Iterative Imputer (MICE),6.625954644510148,5.241776119122343,3.8612857237488862,-0.0912661368642597,0.0912661368642597,5.6738342906005235,0.34527890000026673,0.6475,192
Covid_Cases,Iterative Imputer (MICE),5.341114852893096,4.4869434849527545,3.5811873008905604,-0.10459097293989206,0.10459097293989206,1.327458767569276,0.34527890000026673,0.6475,192
ICU_Beds,Regression Imputation,7.057016726299222,5.9079386194915395,4.160581048924304,-0.8657524421451194,0.8657524421451194,12.352332106246367,0.1274530999999115,0.6475,192
General_Beds,Regression Imputation,10.506156900925898,7.424896854092718,3.6373327595608416,-1.1517781636113351,1.1517781636113351,1109.9924989271321,0.1274530999999115,0.6475,192
Emergency_Beds,Regression Imputation,8.960088335827551,7.338692824262933,4.4871249004432965,-1.139459901898751,1.139459901898751,33.60574180407275,0.1274530999999115,0.6475,192
Occupied_Beds,Regression Imputation,11.589621410893994,8.201376274110762,3.131942633583964,-0.6803832389241492,0.6803832389241492,726.0947454858779,0.1274530999999115,0.6475,192
Available_Beds,Regression Imputation,12.345821456216976,8.891670100989804,3.5639169845602625,0.7495323003336014,0.7495323003336014,323.9849827880732,0.1274530999999115,0.6475,192
Admissions,Regression Imputation,5.588024398247298,4.422106140722478,1.3852113644077622,0.5528485144006063,0.5528485144006063,46.98098999994536,0.1274530999999115,0.6475,192
Discharges,Regression Imputation,7.174680855916289,5.7124663367660675,1.720594689432294,0.06479306891108898,0.06479306891108898,68.25544059147306,0.1274530999999115,0.6475,192
Doctors,Regression Imputation,1.2019834779022385,0.9724089196014125,0.3724120996072285,-0.2837025135052893,0.2837025135052893,6.212788811125102,0.1274530999999115,0.6475,192
Nurses,Regression Imputation,3.7322638750920127,3.066176142806983,0.7267537180376377,0.36330303590907437,0.36330303590907437,85.52453874924164,0.1274530999999115,0.6475,192
Staff_On_Duty,Regression Imputation,5.418961493110153,4.08296137834114,1.0499932106517889,0.32100942989172276,0.32100942989172276,262.29389280698945,0.1274530999999115,0.6475,192
Average_Length_of_Stay,Regression Imputation,1.1026044890753868,0.8933692154585654,0.7937838153340773,-0.0077910861337683185,0.0077910861337683185,0.016331296440780324,0.1274530999999115,0.6475,192
Emergency_Cases,Regression Imputation,6.797658586788712,5.412206300080395,3.8668257366113647,-0.08985353221949573,0.08985353221949573,5.713823549814969,0.1274530999999115,0.6475,192
Covid_Cases,Regression Imputation,5.299027554849461,4.443018291079352,3.599704347072895,-0.08323869339116245,0.08323869339116245,1.3431252160983096,0.1274530999999115,0.6475,192
ICU_Beds,Random Forest Imputation,6.887769426117909,5.914293450784871,4.596449903879049,-0.8051632722452032,0.8051632722452032,6.241354741059918,2.318361399999958,0.655,192
General_Beds,Random Forest Imputation,13.10043334198359,10.08954446525025,4.931038700893938,-1.497864998958141,1.497864998958141,959.6424343543995,2.318361399999958,0.655,192
Emergency_Beds,Random Forest Imputation,8.754537462295692,7.331157448659693,4.7134018859200975,-0.6653117690902924,0.6653117690902924,26.42644523523919,2.318361399999958,0.655,192
Occupied_Beds,Random Forest Imputation,12.404920129270504,9.111810393248424,4.600943969545955,-0.9664725650181388,0.9664725650181388,591.8827906128614,2.318361399999958,0.655,192
Available_Beds,Random Forest Imputation,11.727929573880061,9.162698034903128,3.978397462203566,-0.4502397852919586,0.4502397852919586,280.8393728099763,2.318361399999958,0.655,192
Admissions,Random Forest Imputation,5.7137494641304265,4.544081070998754,1.4207282367972038,0.7881597236555993,0.7881597236555993,45.83356333173546,2.318361399999958,0.655,192
Discharges,Random Forest Imputation,7.17369578253327,5.8581543778944125,1.4271225459486265,0.3879239141013801,0.3879239141013801,71.58263940575996,2.318361399999958,0.655,192
Doctors,Random Forest Imputation,1.1535283784684873,0.9251085248545712,0.40260461770255634,-0.2669552074943102,0.2669552074943102,5.891412142589517,2.318361399999958,0.655,192
Nurses,Random Forest Imputation,3.343317728056013,2.648398532908493,0.7346464970236521,0.3991346935123068,0.3991346935123068,88.67781808165125,2.318361399999958,0.655,192
Staff_On_Duty,Random Forest Imputation,5.04761818721535,3.935812918848466,1.0023644092288708,0.42373938016861185,0.42373938016861185,283.2428154833401,2.318361399999958,0.655,192
Average_Length_of_Stay,Random Forest Imputation,1.1113018564763681,0.9058310502488246,0.7164379052125025,-0.0014043562976668103,0.0014043562976668103,0.05530681020714066,2.318361399999958,0.655,192
Emergency_Cases,Random Forest Imputation,6.824023165185271,5.43160311203054,3.7290318579299155,-0.24659543154208163,0.24659543154208163,6.4161559310855765,2.318361399999958,0.655,192
Covid_Cases,Random Forest Imputation,5.297291247594824,4.419018825552189,3.4280899708207073,-0.1595412022343691,0.1595412022343691,2.022871602323732,2.318361399999958,0.655,192
